Supplemental_Table_1: Parkinson's Disease associated genes from DisGeNET. Disease association score > 0.3 shows evidence supported by In silico or In vivo studies.,,,
,,,
Disease_name,Gene,Gene_Description,Disease_Association_score
Parkinson Disease,EPHX1,epoxide hydrolase 1,0.7
Parkinson Disease,GRK6,G protein-coupled receptor kinase 6,0.7
Parkinson Disease,EN1,engrailed homeobox 1,0.7
Parkinson Disease,NQO2,N-ribosyldihydronicotinamide:quinone dehydrogenase 2,0.7
Parkinson Disease,MAPK3,mitogen-activated protein kinase 3,0.7
Parkinson Disease,CASP9,caspase 9,0.7
Parkinson Disease,CAST,calpastatin,0.7
Parkinson Disease,GSTO1,glutathione S-transferase omega 1,0.7
Parkinson Disease,CREB1,cAMP responsive element binding protein 1,0.7
Parkinson Disease,TNK2,tyrosine kinase non receptor 2,0.65
Parkinson Disease,INSR,insulin receptor,0.65
Parkinson Disease,BAG5,BAG cochaperone 5,0.65
Parkinson Disease,ENO2,enolase 2,0.65
Parkinson Disease,SLC30A10,solute carrier family 30 member 10,0.65
Parkinson Disease,HGF,hepatocyte growth factor,0.65
Parkinson Disease,MAP3K5,mitogen-activated protein kinase kinase kinase 5,0.65
Parkinson Disease,DDIT4,DNA damage inducible transcript 4,0.65
Young onset Parkinson disease,DNAJC6,DnaJ heat shock protein family (Hsp40) member C6,0.65
Parkinson Disease,GSTA4,glutathione S-transferase alpha 4,0.65
Parkinson Disease,AIF1,allograft inflammatory factor 1,0.65
Parkinson Disease,NDUFV2,NADH:ubiquinone oxidoreductase core subunit V2,0.65
Parkinson Disease,ND3,NADH dehydrogenase subunit 3,0.65
Parkinson Disease,ND4,NADH dehydrogenase subunit 4,0.65
Parkinson Disease,ATP6,ATP synthase F0 subunit 6,0.65
Parkinson Disease,ND1,NADH dehydrogenase subunit 1,0.65
Parkinson Disease,ND2,NADH dehydrogenase subunit 2,0.65
Parkinson Disease,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,0.65
Parkinson Disease,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2,0.65
Parkinson Disease,A2M,alpha-2-macroglobulin,0.65
Parkinson Disease,RFC1,replication factor C subunit 1,0.6
Parkinson Disease,BSN,bassoon presynaptic cytomatrix protein,0.6
Parkinson Disease,TGM6,transglutaminase 6,0.6
Parkinson Disease,TNR,tenascin R,0.6
Parkinson Disease,FCER2,Fc epsilon receptor II,0.6
Parkinson Disease,HBG1,hemoglobin subunit gamma 1,0.6
Parkinson Disease,IGF2R,insulin like growth factor 2 receptor,0.6
Parkinson Disease,MAP2,microtubule associated protein 2,0.6
Parkinson Disease,MIR181C,microRNA 181c,0.6
Parkinson Disease,MAG,myelin associated glycoprotein,0.6
Parkinson Disease,MTA1,metastasis associated 1,0.6
Parkinson Disease,RIC3,RIC3 acetylcholine receptor chaperone,0.6
Young onset Parkinson disease,GBA1,glucosylceramidase beta 1,0.6
Young onset Parkinson disease,PACRG,parkin coregulated,0.6
Parkinson Disease,IGF1R,insulin like growth factor 1 receptor,0.55
Parkinson Disease,NECTIN2,nectin cell adhesion molecule 2,0.55
Parkinson Disease,FBP1,fructose-bisphosphatase 1,0.55
Parkinson Disease,SEPTIN14,septin 14,0.55
Parkinson Disease,PHACTR2,phosphatase and actin regulator 2,0.55
Parkinson Disease,MTRR,5-methyltetrahydrofolate-homocysteine methyltransferase reductase,0.55
Parkinson Disease,CHRNB3,cholinergic receptor nicotinic beta 3 subunit,0.55
Parkinson Disease,CNTNAP2,contactin associated protein 2,0.5
Parkinson Disease,NCAPG2,non-SMC condensin II complex subunit G2,0.5
Parkinson Disease,ADARB2,adenosine deaminase RNA specific B2 (inactive),0.5
Parkinson Disease,DRAXIN,dorsal inhibitory axon guidance protein,0.5
Parkinson Disease,DEFA4,defensin alpha 4,0.5
Parkinson Disease,RPL6,ribosomal protein L6,0.5
Young onset Parkinson disease,PODXL,podocalyxin like,0.5
Parkinson Disease,COL19A1,collagen type XIX alpha 1 chain,0.5
Parkinson Disease,EDN1,endothelin 1,0.5
Parkinson Disease,CEACAM6,CEA cell adhesion molecule 6,0.5
Idiopathic Parkinsonism or Parkinson's disease,SNCA,synuclein alpha,0.5
Primary Parkinsonism or Parkinson's disease,SNCA,synuclein alpha,0.5
Idiopathic Parkinsonism or Parkinson's disease,VPS13C,vacuolar protein sorting 13 homolog C,0.45
Primary Parkinsonism or Parkinson's disease,VPS13C,vacuolar protein sorting 13 homolog C,0.45
Parkinson Disease,TCN2,transcobalamin 2,0.45
